souche_1;souche_2;souche_3;souche_4;souche_5;stade;station ;ad nichoir;sex;obs;sta.nic;urb_level;urb_level_city;average_urb_level;habitat
SYBOR22;PARUS77;PARUS72;AFR215;SYCON05;adulte;mos;2;2;SP;mos.2;-1,08721302;-0,722599811;-0,865;urb
PARUS16;PARUS73;;;;adulte;mos;2;1;SP;mos.2;-1,08721302;-0,722599811;-0,865;urb
SYBOR22;PYCGPI03;PARUS77;PARUS74;PARUS72;adulte;mos;38;2;SP;mos.38;-1,558454122;-1,128383712;-0,865;urb
inexploitable;;;;;adulte;rou;324;2;AC;rou.324;0,961688348;0;1,221;urb
PYCGPI03;PARUS77;PARUS4;PARUS18;;adulte;rou;324;1;AC;rou.324;0,961688348;0;1,221;urb
PARUS70;;;;;adulte;rou;10;1;SP;rou.10;1,239068144;0;1,221;urb
PARUS34;PARUS33;PARUS28;PARUS16;;adulte;rou;10;2;SP;rou.10;1,239068144;0;1,221;urb
SYBOR22;PYCGPI03;PARUS77;PARUS74;PARUS72;adulte;zoo;5;2;SP;zoo.5;0,79882182;1,440750817;0,687;urb
SYBOR27;SYBOR08;SFC7;PLONIG15;PFC2;adulte;zoo;5;1;SP;zoo.5;0,79882182;1,440750817;0,687;urb
SYCON05;SYBOR33;SYBOR27;SYBOR22;SYBOR08;adulte;zoo;20;2;ACA;zoo.20;0,807601463;1,476202443;0,687;urb
PARUS4;PARUS18;;;;adulte;zoo;20;1;ACA;zoo.20;0,807601463;1,476202443;0,687;urb
SYBOR22;PYCGPI03;PARUS77;PARUS74;PARUS72;adulte;zoo;42;1;ACA;zoo.42;1,021668772;1,285093234;0,687;rur
SYCON05;SYBOR33;SYBOR22;SYBOR08;SYBOR06;adulte;zoo;42;2;ACA;zoo.42;1,021668772;1,285093234;0,687;rur
PARUS74;PARUS72;;;;adulte;zoo;63;2;ACA;zoo.63;-0,937353317;1,2951535;0,687;rur
negatif;;;;;adulte;zoo;25;1;ACA;zoo.25;0,746493062;1,19686884;0,687;rur
SYBOR27;SYBOR08;SFC7;PFC2;PARUS74;adulte;zoo;25;2;SP;zoo.25;0,746493062;1,19686884;0,687;rur
PARUS70;CYACAE02;;;;adulte;zoo;51;2;ACA;zoo.51;0,425595613;1,614669752;0,687;rur
